wikia_links,character_name,character_description
/wiki/Albedo,Albedo,"A synthetic human made by the alchemist Rhinedottir, the mysterious Albedo is the Chief Alchemist and Captain of the Investigation Team of the Knights of Favonius.
"
/wiki/Alhaitham,Alhaitham,"Alhaitham is a member of the Haravatat of the Sumeru Akademiya and the Akademiya's Scribe, responsible for documenting their findings and drafting ordinances. Despite his brilliance, people within the Akademiya are perplexed by Alhaitham due to his unwillingness to aspire for higher office in spite of his egocentricity, and many have been at odds with him for his uncompromising view on rationality and the truth.
"
/wiki/Aloy,Aloy,"She is the heroine from Horizon Zero Dawn and is introduced as a collaboration and crossover character between Guerrilla Games and HoYoverse.
"
/wiki/Amber,Amber,"As the only remaining Outrider of the Knights of Favonius, she is always ready to help the citizens of Mondstadt - whether it be something simple or perhaps a more challenging task.
"
/wiki/Arataki_Itto,Arataki Itto,"A loud and proud descendant of the crimson oni, Itto is also the leader and founder of the Arataki Gang. While not a villain, his reputation as a delinquent in Inazuma City leaves something to be desired.
"
/wiki/Baizhu,Baizhu,"The owner of Bubu Pharmacy and Qiqi's guardian, Doctor Baizhu is a master of the medicinal arts and the latest recipient of a generational contract with a white snake named Changsheng. He seeks to achieve immortality to ensure he is the last to ever bear his contract, saving potential inheritors and even Changsheng herself from the cost that comes with its power.
"
/wiki/Barbara,Barbara,"She is the deaconess of the Church of Favonius and a prominent ""idol"" after learning about them from the intrepid adventurer Alice. She is also the younger sister of the Acting Grand Master Jean.
"
/wiki/Beidou,Beidou,"She is the captain of The Crux, a renowned crew in Liyue. Besides her capabilities as a fleet captain and her immense strength, many in Liyue know her for her lack of fear towards the Tianquan of the Liyue Qixing, Ningguang - a trait that the other appreciates, yet grows irritated by.
"
/wiki/Bennett,Bennett,"An orphan discovered by an elderly adventurer as a baby, Bennett was raised in Mondstadt's Adventurers' Guild. He is the one and only member of ""Benny's Adventure Team,"" as everyone else left the team after experiencing the constant misfortune that follows him.
"
/wiki/Candace,Candace,"The scion of Al-Ahmar and the Guardian of Aaru Village, Candace is kind to travelers who visit, but is unforgiving to those who violate the village's rules.
"
/wiki/Charlotte,Charlotte,"A journalist from The Steambird, Charlotte is always on the prowl for an exclusive scoop. Ever so relentless and indefatigable, she won't stop until she finds out the truth, even if she comes closer to danger.
"
/wiki/Chevreuse,Chevreuse,"She is the captain of the Maison Gardiennage's Special Security and Surveillance Patrol.
"
/wiki/Chongyun,Chongyun,"Born with an excess of yang (positive) energy, Chongyun has become a highly effective exorcist in Liyue - so effective to the point where he hasn't seen a spirit himself, as they immediately flee when he approaches. The excessive yang energy also makes him particularly susceptible to heat and strong emotion, which has led to some rather unexpected results.
"
/wiki/Collei,Collei,"She has appeared in the official Manga and serves as one of its main characters. Originally an Eleazar-afflicted victim of Fatui human experimentation, Collei wandered the world as a vagrant until she met Amber in Mondstadt. Since then, Collei has turned her life around, and currently serves as a trainee Forest Ranger in the Avidya Forest.
"
/wiki/Cyno,Cyno,"As the General Mahamatra, Cyno leads the Matra and strikes fear into the hearts of researchers of the Sumeru Akademiya. In spite of this, Cyno has a fun side outside of his role in the Akademiya, as he has an affinity for Genius Invokation TCG and constantly cracks unfunny jokes.
"
/wiki/Dehya,Dehya,"A fierce and strong warrior, the ""Flame-Mane"" Dehya is considered a legend among the Eremites for her might, passion, and conscientiousness. Unwilling to be trapped by the conditions that force most from the desert to stay there, she aspires to deliver hope back to the sands that she considers her home.
"
/wiki/Diluc,Diluc,"Born into the affluent Ragnvindr Clan, Diluc is the current owner of the Dawn Winery and a nobleman of high esteem in Mondstadt. While a past incident caused him to split ways with the Knights of Favonius, he continues to protect Mondstadt in his own way.
"
/wiki/Diona,Diona,"Despite being a bartender at the Cat's Tail, she loathes alcohol and will stop at nothing to ruin Mondstadt's wine industry - a feat easier said than done when her patrons absolutely love her drinks. She is the daughter of Draff, a hunter in Springvale.
"
/wiki/Dori,Dori,"The owner of The Palace of Alcazarzaray and a merchant of high regard, ""Lord Sangemah Bay"" is well known for her ability to obtain anything a person needs, as long as they have enough Mora to afford her jaw-dropping prices.
"
/wiki/Eula,Eula,"Although a descendant of the infamous and tyrannical Lawrence Clan, Eula severed her ties with the clan and became the captain of the Reconnaissance Company with the Knights of Favonius.
"
/wiki/Faruzan,Faruzan,"She is a renowned professor of the Sumeru Akademiya and member of the Haravatat Darshan. She recently returned to the Akademiya after solving a puzzle and escaping the ruins that trapped her a century ago.
"
/wiki/Fischl,Fischl,"She is an investigator for Mondstadt's Adventurers' Guild, accompanied by the night raven Oz. A daring adventurer with seemingly outlandish theories that happen to turn out to be true, she claims to hail from a world beyond Teyvat.
"
