id,subject,speaker,thought,link
1,Albedo,Amber,"Albedo spends most of his time in his workshop, tinkering away with all of his awesome stuff. But, when you see him in person, you never can quite tell what he's thinking... Who knows what goes on in that mind of his...",https://game8.co/games/Genshin-Impact/archives/312182
2,Albedo,Diona,Alchemy genius? Hmm... I wonder if he knows of a way to finally help me make a drink that people don't like?,https://game8.co/games/Genshin-Impact/archives/312182
3,Albedo,Jean,"Sometimes I feel that terms like ""genius"" were originally created for Albedo.",https://game8.co/games/Genshin-Impact/archives/312182
4,Albedo,Kaeya,"Albedo, eh? Calm, collected, and incredibly talented. He's the type everybody likes, some even more so than others. What, you into him as well?",https://game8.co/games/Genshin-Impact/archives/312182
5,Albedo,Klee,"Me and Albedo have a secret code! Whenever he puts a sign on his workshop door saying ""Experiment in Progress,"" that's code for ""Come back later, Klee."" Albedo's really nice and he's so patient with me, so I don't mind waiting until he's finished with his work.",https://game8.co/games/Genshin-Impact/archives/312182
6,Albedo,Lisa,"Albedo is quite the alchemist. Just say the word and he'll come up with a good solution. He's easy on the eyes too, just like you.",https://game8.co/games/Genshin-Impact/archives/312182
7,Albedo,Mona,"Albedo? Ah... I envy his ability to solely focus on his research without getting bogged down in mundane worldly affairs. What a wonderful life! If that batty old lady hadn't had one too many screws loose, perhaps that's the life I'd be living by now myself...",https://game8.co/games/Genshin-Impact/archives/312182
8,Albedo,Rosaria,"He's like an oil painting you find hanging on the wall in some ancient hall, profound and mysterious... hard to see through. But what can I say, I find people with stories... interesting.",https://game8.co/games/Genshin-Impact/archives/312182
9,Albedo,Sucrose,"Artistry: As his Assistant I learn so much each and every day. What's key is not his existing knowledge, but his talented way of thinking. No matter how complex the task at hand, his way of thinking ensures he gets to the bottom of it, and is able to explain it thoroughly. His methodologies are amazing... to me, it's where alchemy meets art. Talent: Talent? Let's hypothesize that he and I were to perform the same research — I'd spend my whole life playing catch up. But, my studying of bio-alchemy has nothing to do with evading his line of research, we just happen to have different interests and dreams — nothing more.",https://game8.co/games/Genshin-Impact/archives/312182
10,Albedo,Venti,"How do you explain white chalk in black soil, or the earth's dense crust amidst the emptiness of space? Same reason the purest soil gave birth to human life... It's an ancient power with unmistakable properties. Trying to harness it is dangerous indeed, I can't imagine what would happen if someone lost control of it in the city... Ah, never mind! What goes on within Mondstadt's walls is up to Mondstadt's people to deal with!",https://game8.co/games/Genshin-Impact/archives/312182
11,Albedo,Xingqiu,"I've thought of all the illustrations I want for each of the major event in the next three volumes! I should write my thoughts down before I forget them, and send them to Mr. Kreideprinz...",https://game8.co/games/Genshin-Impact/archives/312182
12,Alhaitham,Candace,"A truly unusual scholar, unlike any other I've ever met. He sees and thinks about things in his own unique way... I only hope he never wields his sharp mind against the peace of Aaru Village.",https://game8.co/games/Genshin-Impact/archives/383712
13,Alhaitham,Cyno,"I don't really like people who are too smart. They think they can control everything, and constantly venture to the fringes of danger. But Alhaitham is one of the more reliable ones. In most cases, he is actually in control of things and has the ability to avert potential disaster.",https://game8.co/games/Genshin-Impact/archives/383712
14,Alhaitham,Dehya,"He offered me a position in the Akademiya once. I declined — working in a place like that would bore me to death. He, on the other hand, is exactly the kind of person I can imagine working there... always talking in long, convoluted sentences, and in that snooty tone... Tsk.",https://game8.co/games/Genshin-Impact/archives/383712
15,Alhaitham,Dori,"He once came nosing around, asking my minions some questions to see what he could find out. Like I said, those Akademiya people are just pig-headed and dishonest. Why should I take the risk of others prying into my business? Right, my young apprentice?",https://game8.co/games/Genshin-Impact/archives/383712
16,Alhaitham,Kaveh,"Temperament: I guarantee you'll never meet anyone else who's as infuriating as him! And for the record, yes, I would say that to his face. Sure, he's smart, and sure, geniuses often come with a bad temper, but that's only half the story with him... He knows perfectly well how to appear friendly and likable to others, he just doesn't want to. If he ever gives you the impression that he doens't really have a temper, or that he's rigidly logical like a machine, then you just don't know him well enough yet. He definitely has a personality, it's just... too big a personality. Most people wouldn't get it. It's Complicated: Alhaitham helped me out a fair amount recently. If we were still as close as we were during our student days, then I'd be thanking him every chance I got. Now, though... I can't seem get a word of appreciation out of my mouth. Even if I could, I wouldn't want to give him the satisfaction. I guess you could say our relationship is something of a mixed bag these days? Honestly, with everything that's happened, it almost feels like the universe has been playing pranks on us... It's hard to make sense of it all... too much to process for one lifetime. I will say that it's not every day that you get to know someone like him — I just wish he could rein in some of the worst excesses of his personality. Okay, yeah, that's never gonna happen.",https://game8.co/games/Genshin-Impact/archives/383712
17,Alhaitham,Layla,"I bet someone who's good enough to get a job like Scribe never has to worry about whether their projects will get approved or be successful. Wait... Oh shoot, if he's a Scribe, he probably doesn't have to do any projects in the first place. So lucky...",https://game8.co/games/Genshin-Impact/archives/383712
18,Alhaitham,Nahida,"He holds a body of knowledge more advanced than most could imagine, and his mind is constantly thinking, so maybe nothing in this world could ever fool him. But is the wise man truly wise to view the mediocre majority as defective? Because without them, there is no us.",https://game8.co/games/Genshin-Impact/archives/383712
19,Alhaitham,Tighnari,"Be careful of Alhaitham. I'm not saying he's a bad guy, but he purely operates by rationality, so people often find his actions unacceptable. If you don't believe me, just ask his housemate - thanks to Alhaitham, he has more pent-up frustration than an angry Anemo Slime.",https://game8.co/games/Genshin-Impact/archives/383712
20,Aloy,None,None,https://game8.co/games/Genshin-Impact/archives/337957
21,Amber,Barbara,I've seen Amber rushing out of Mondstadt on a mission countless times. Being an Outrider doesn't look easy.,https://game8.co/games/Genshin-Impact/archives/297535
22,Amber,Bennett,"Oh, I know who you mean. The girl who's always charging around all over the place. She's always off adventuring in the wild, just like me... But if you ever see her near a cooking pot, you'll soon find a cloud of thick black smoke blowing in your direction, followed by the smell of burnt steak... Huh, maybe she was born unlucky too?",https://game8.co/games/Genshin-Impact/archives/297535
23,Amber,Collei,"Amber is amazing. She's friendly and has tons of enthusiasm, plus she's really brave and always does the right thing... She's the person I admire most of all! She's like a cozy fire that makes everyone around her feel warm. There's no way I'd be where I am today without her... So much time has gone by — I bet she's even more cool and confident than ever these days! Who knows if I'll ever be able to match her.",https://game8.co/games/Genshin-Impact/archives/297535
